#T	 <|m|>			<e>		      susceptibilidade	    calor específico	  energia livre		 cumulante de Binder   <sisj> corr 1o's viz  Z=função de partição 
5.000000 2.752857706837818e-01 -4.354226086208721e-01 1.900280118414313e-01 1.053008436342779e-01 -3.673840848962811e+00 1.414345537203078e-01 2.177113042969939e-01 9.498259714286938e+07
4.950000 2.773639631567353e-01 -4.407600523226221e-01 1.943625656861092e-01 1.082189133905142e-01 -3.641483321641442e+00 1.440936366852070e-01 2.203800262431454e-01 9.710757157238136e+07
4.900000 2.795185935417094e-01 -4.462467719052087e-01 1.988757399602355e-01 1.112733224889084e-01 -3.609180459437401e+00 1.468616670961675e-01 2.231233859399957e-01 9.935263187355144e+07
4.850000 2.817538552183147e-01 -4.518898097152137e-01 2.035776307703522e-01 1.144732551116464e-01 -3.576934379330857e+00 1.497445666981151e-01 2.259449048771387e-01 1.017272814297568e+08
4.800000 2.840742427385002e-01 -4.576966884784991e-01 2.084790172366159e-01 1.178286929607667e-01 -3.544747316664833e+00 1.527486283390638e-01 2.288483442495767e-01 1.042419927593325e+08
4.750000 2.864845774164096e-01 -4.636754514646042e-01 2.135914092964160e-01 1.213504958356535e-01 -3.512621634453585e+00 1.558805331038315e-01 2.318377256652698e-01 1.069083289678652e+08
4.700000 2.889900352531006e-01 -4.698347074424984e-01 2.189271008159191e-01 1.250504959014589e-01 -3.480559833377039e+00 1.591473779394427e-01 2.349173537263706e-01 1.097390831688347e+08
4.650000 2.915961795544058e-01 -4.761836852381031e-01 2.244992207704097e-01 1.289415965564656e-01 -3.448564561750845e+00 1.625566958771758e-01 2.380918425702052e-01 1.127484384780465e+08
4.600000 2.943089943065525e-01 -4.827322864568256e-01 2.303217901331724e-01 1.330378877733039e-01 -3.416638627928531e+00 1.661164808532879e-01 2.413661431558865e-01 1.159521536286817e+08
4.550000 2.971349224686761e-01 -4.894911497118293e-01 2.364097791643523e-01 1.373547711228381e-01 -3.384785012870173e+00 1.698352112826642e-01 2.447455748669188e-01 1.193677773350345e+08
4.500000 3.000809074370562e-01 -4.964717203661051e-01 2.427791660368506e-01 1.419090996859203e-01 -3.353006884256408e+00 1.737218734594735e-01 2.482358600869113e-01 1.230148974702332e+08
4.450000 3.031544384505903e-01 -5.036863237962556e-01 2.494469951249400e-01 1.467193361045223e-01 -3.321307612438214e+00 1.777859835501722e-01 2.518431619441334e-01 1.269154317075533e+08
4.400000 3.063636019455069e-01 -5.111482552629278e-01 2.564314329547360e-01 1.518057227162255e-01 -3.289690786967006e+00 1.820376105111130e-01 2.555741276089974e-01 1.310939665517212e+08
4.350000 3.097171349548869e-01 -5.188718679573321e-01 2.637518245437370e-01 1.571904778415986e-01 -3.258160236400711e+00 1.864873907851220e-01 2.594359339872002e-01 1.355781561139700e+08
4.300000 3.132244866632513e-01 -5.268726810892291e-01 2.714287405752410e-01 1.628980041730049e-01 -3.226720048788073e+00 1.911465460262668e-01 2.634363405321599e-01 1.403991904693569e+08
4.250000 3.168958846993815e-01 -5.351674933068065e-01 2.794840181339622e-01 1.689551264558310e-01 -3.195374595023575e+00 1.960268946298561e-01 2.675837466026719e-01 1.455923494263330e+08
4.200000 3.207424070550006e-01 -5.437745104251993e-01 2.879407895126672e-01 1.753913492526766e-01 -3.164128554650282e+00 2.011408566942289e-01 2.718872551300255e-01 1.511976591208669e+08
4.150000 3.247760618213730e-01 -5.527134858956954e-01 2.968234881946910e-01 1.822391371532668e-01 -3.132986944616010e+00 2.065014469751252e-01 2.763567428274840e-01 1.572606737794696e+08
4.100000 3.290098729156981e-01 -5.620058770647884e-01 3.061578389216033e-01 1.895342251269443e-01 -3.101955150816634e+00 2.121222685831152e-01 2.810029384736771e-01 1.638334098153054e+08
4.050000 3.334579740154709e-01 -5.716750166812180e-01 3.159708064990093e-01 1.973159476420368e-01 -3.071038963582744e+00 2.180174853994198e-01 2.858375083475665e-01 1.709754675234375e+08
4.000000 3.381357096823858e-01 -5.817463012942529e-01 3.262905006511814e-01 2.056275943226402e-01 -3.040244616940845e+00 2.242017797846750e-01 2.908731506655036e-01 1.787553833771757e+08
3.950000 3.430597442461618e-01 -5.922473992171406e-01 3.371460276741737e-01 2.145167817526846e-01 -3.009578832074781e+00 2.306902982044335e-01 2.961236995787602e-01 1.872522678454707e+08
3.900000 3.482481774722878e-01 -6.032084746284361e-01 3.485672592061705e-01 2.240358421061104e-01 -2.979048866499255e+00 2.374985676844488e-01 3.016042372780814e-01 1.965577998703850e+08
3.850000 3.537206681723968e-01 -6.146624353477060e-01 3.605845024955021e-01 2.342422114546268e-01 -2.948662567725098e+00 2.446423865084854e-01 3.073312177459896e-01 2.067786655619066e+08
3.800000 3.594985617837632e-01 -6.266451964004696e-01 3.732280458337540e-01 2.451988073045334e-01 -2.918428434022390e+00 2.521376841326908e-01 3.133225982235693e-01 2.180395586387370e+08
3.750000 3.656050226009485e-01 -6.391959623718955e-01 3.865275393102232e-01 2.569743744926786e-01 -2.888355681291535e+00 2.600003405045873e-01 3.195979811701865e-01 2.304868898884114e+08
3.700000 3.720651672821192e-01 -6.523575277931116e-01 4.005111707889811e-01 2.696437682071442e-01 -2.858454317564843e+00 2.682459644939427e-01 3.261787637974431e-01 2.442934010230341e+08
3.650000 3.789061932598238e-01 -6.661765852056415e-01 4.152045851295803e-01 2.832881320023130e-01 -2.828735226071328e+00 2.768896159014568e-01 3.330882926341605e-01 2.596639385037622e+08
